권역코드*,우편번호*
S56,16027
S12,16081
S55,6298
S40,16975
S41,7054
S12,13149
S54,6127
S03,15863
S59,15831
S54,13991
S12,6218
S55,6011
S08,5299
S35,16881
S57,5690
S55,16928
S15,12752
S60,6178
S12,15868
S11,8838
S15,13617
S04,16090
S12,7074
S35,12911
S04,8758
S12,13231
S08,16409
S03,18461
S57,12920
S40,8814
S02,5776
S37,16905
S04,16932
S12,8800
S37,6168
S55,18457
S40,5770
S10,13535
S07,13163
S03,13246
S10,8785
S03,5844
S61,13625
S08,5836
S32,6256
S56,8848
S59,5534
S39,8751
S03,13805
S14,14082
S58,16332
S36,5326
S38,13533
S36,16550
S38,13986
S32,16431
S34,13910
S52,16858
S55,13944
S55,13821
S08,15852
S54,13000
S40,13585
S31,16701
S10,13292
S12,16420
S33,5253
S59,5525
S03,16505
S31,16321
S10,14023
S33,6943
S15,6101
S14,6364
S60,5522
S55,16901
S03,7052
S04,13394
S51,13917
S05,13939
S07,6784
S03,6310
S56,5574
S34,16873
S02,63275
S12,15806
S55,16689
S56,6250
S32,15820
S09,6116
S12,16227
S34,13941
S55,6585
S39,8787
S40,14038
S56,6133
S39,13465
S51,5596
S32,6359
S57,16108
S33,13333
S56,8791
S37,6923
S11,16846
S33,13510
S41,16346
S14,16706
S12,16583
S54,16450
S14,6004
S12,13181
S60,6036
S58,13504
S33,6635
S31,12779
S08,13400
S12,18470
S12,16104
S12,6749
S10,17074
S08,8801
S14,5298
S51,16965
S35,5233
S61,6794
S03,6042
S32,6504
S52,5267
S58,18454
S12,13386
S31,5804
S11,16538
S40,16835
S09,6649
S37,6012
S33,6067
S39,6209
S15,14047
S34,16056
S05,16939
S32,16030
S03,16667
S38,13817
S37,5659
S37,6311
S60,13216
S15,16597
S10,6205
S59,13383
S40,16002
S36,16071
S07,6096
S51,16314
S55,6061
S32,6013
S54,6354
S56,6648
S59,16892
S04,5674
S15,13427
S56,16088
S14,13147
S51,6538
S34,5657
S35,5575
S10,8844
S55,14065
S12,13115
S58,6214
S60,16257
S55,7073
S59,13214
S40,16208
S15,16495
S54,6938
S15,14063
S38,5550
S14,6786
S02,16038
S37,5374
S39,6233
S14,15810
S59,12903
S56,13943
S12,13180
S57,8773
S59,5771
S12,6174
S61,12908
S38,13496
S14,13579
S58,6678
S37,13581
S54,6203
S53,6518
S09,16410
S09,13832
S37,8792
S37,16438
S12,7055
S37,14026
S56,5593
S34,6121
S12,6966
S58,13159
S12,16816
S51,5724
S34,13596
S12,12924
S33,13557
S04,13343
S02,13818
S36,5829
S15,16343
S34,18462
S03,16865
S53,16323
S59,13629
S38,13355
S61,7029
S31,6924
S56,15874
S53,13353
S03,13646
S02,5815
S14,16435
S52,13830
S51,13225
S07,6083
S05,5819
S31,6993
S31,16059
S12,18444
S07,5397
S55,5602
S35,8740
S09,5671
S04,8829
S58,5792
S56,6333
S12,16407
S59,8703
S09,13502
S52,13632
S32,5345
S09,6111
S03,13550
S34,16508
S52,13119
S61,6673
S04,15844
S55,5621
S14,16058
S57,17071
S51,16062
S08,8860
S31,6609
S39,6177
S02,5279
S36,5277
S40,16956
S13,5745
S31,5286
S12,17105
S38,13312
S12,14042
S59,5628
S09,5605
S32,6215
S14,13403
S51,5511
S60,6979
S04,16100
S14,13015
S36,13647
S51,6260
S02,5248
S55,13382
S37,8858
S56,5842
S37,5616
S10,16943
S34,16844
S55,16521
S38,6259
S02,6983
S33,12917
S38,8802
S57,6063
S09,16981
S31,7034
S53,13416
S32,5849
S07,14028
S09,6603
S04,5582
S32,13402
S04,6006
S14,7049
S37,13162
S37,17003
S32,6776
S14,5325
S32,6304
S35,13228
S33,16034
S15,16683
S41,13297
S33,15855
S51,17099
S12,13424
S56,16992
S55,13161
S14,5300
S09,6086
S57,6532
S14,16243
S09,16804
S37,16694
S14,5663
S14,8854
S12,5653
S35,16919
S15,15870
S59,6605
S32,13606
S04,16512
S32,13545
S37,16273
S33,16469
S54,6541
S37,13290
S56,13142
S13,8720
S34,16652
S55,6765
S07,16940
S40,18381
S14,5294
S10,13609
S59,13209
S51,14005
S61,18447
S51,16557
S33,6663
S09,5271
S40,16920
S55,5514
S09,16443
S32,16271
S34,16357
S04,15808
S57,16918
S33,16700
S51,8851
S35,13105
S33,16600
S61,5711
S51,16966
S40,16277
S54,17066
S14,6933
S11,6639
S39,16502
S56,16549
S02,6060
S55,13480
S02,6110
S37,5613
S14,6984
S33,13505
S14,17064
S52,13236
S37,6779
S60,6773
S11,16246
S12,13916
S04,13526
S36,6243
S57,6054
S33,6194
S34,6967
S02,13645
S12,13155
S03,6692
S10,6527
S04,13250
S54,16019
S12,6297
S61,14099
S56,18380
S39,6307
S40,5268
S35,13247
S51,13107
S14,6005
S14,16328
S52,6115
S60,5758
S09,16284
S09,16608
S09,6679
S10,16325
S09,13134
S37,5330
S12,16415
S14,5538
S37,16871
S04,5296
S04,5218
S56,18377
S34,5560
S54,13111
S38,18453
S51,13012
S34,16663
S41,13266
S04,13344
S35,13374
S01,13210
S03,5692
S04,5715
S58,16830
S10,15830
S54,16501
S12,5335
S31,16390
S55,8859
S11,16971
S53,5782
S56,6770
S03,13576
S13,16348
S02,16926
S58,5749
S40,6031
S34,13421
S35,6969
S15,6752
S31,13564
S51,13575
S57,8714
S33,13219
S05,7069
S02,13513
S12,16231
S56,13902
S31,12771
S56,16222
S57,6235
S08,6198
S32,12753
S52,16681
S12,6802
S33,6207
S53,16389
S37,16234
S52,6073
S14,14070
S54,5411
S52,16570
S15,5733
S56,6020
S56,15824
S12,13841
S53,6642
S02,6227
S37,6113
S52,13222
S52,13446
S14,6991
S12,16567
S51,8762
S56,6142
S14,6082
S60,16221
S36,6064
S14,6237
S51,12909
S53,5243
S55,6316
S51,13384
S14,5384
S60,12999
S14,13491
S36,13919
S39,13484
S04,6764
S12,16953
S01,18436
S36,8713
S37,6699
S51,13528
S03,13307
S58,17011
S14,13221
S32,16466
S32,16993
S51,6997
S09,5360
S12,13372
S32,16900
S10,5727
S14,5667
S14,16477
S07,16556
S10,5278
S51,16588
S03,16907
S56,5532
S08,13106
S08,8816
S56,13471
S10,7000
S12,6288
S10,8757
S32,13011
S37,6158
S55,12788
S15,16285
S54,16342
S32,13014
S34,6300
S40,16073
S14,13273
S02,16631
S37,6284
S55,13556
S37,15802
S56,6147
S33,6974
S14,13512
S40,14008
S34,6582
S39,6759
S12,16895
S34,6335
S32,13261
S15,13130
S07,8821
S15,15882
S33,7062
S15,8771
S40,13230
S37,18473
S37,5650
S41,6370
S36,6088
S53,16248
S09,6190
S36,8797
S03,17112
S10,18441
S52,16513
S55,6148
S55,6317
S55,13103
S12,6533
S12,13628
S09,16543
S35,15818
S56,13234
S07,5725
S11,16252
S03,12998
S14,6975
S40,6105
S56,16529
S35,13989
S02,8717
S14,5521
S55,8754
S12,13815
S58,6536
S03,13946
S60,16655
S36,8845
S07,13341
S55,13004
S35,6366
S33,6029
S33,5655
S56,6687
S02,5643
S08,17006
S38,6644
S57,5814
S36,14009
S35,16288
S58,13422
S39,13293
S57,16805
S40,5757
S60,5637
S51,12996
S02,14084
S56,13132
S11,13927
S05,14114
S05,5681
S40,6949
S57,6598
S33,16098
S37,12902
S07,8841
S03,8764
S32,13326
S40,6103
S14,16267
S41,7004
S39,16829
S52,5229
S02,16461
S07,14025
